source_id,time,filter,snr,is_detection,mag,magerr,mag_lim
S251112cm_200Mpc,0.006961825107282493,g,1.7933731840073794,0,,,24.258464857634053
S251112cm_200Mpc,1.00362214998313,g,279.96336663559475,1,20.166204716881907,0.0038790789418301176,
S251112cm_200Mpc,1.0040809112906572,g,306.8967765099668,1,20.165015728263647,0.0035386490935160764,
S251112cm_200Mpc,1.0045496550446842,g,307.1194065771361,1,20.170295668180657,0.0035360839358982037,
S251112cm_200Mpc,1.0050114360492444,g,306.3814266430831,1,20.170261103053267,0.003544601289637339,
S251112cm_200Mpc,1.0054716812301194,g,302.26620853152934,1,20.175391590954874,0.003592859437632836,
S251112cm_200Mpc,1.0068513080404955,g,315.23674583773146,1,20.167789320861065,0.003445029852449435,
S251112cm_200Mpc,3.9450829813504242,i,42.01354818485119,1,21.507167935624622,0.025848804657531373,
S251112cm_200Mpc,3.9455487414161325,i,45.20576399966175,1,21.538493211619144,0.024023485146896888,
S251112cm_200Mpc,4.057341344807355,i,21.509083263956896,1,21.625867788626945,0.05049029689795414,
S251112cm_200Mpc,4.057807374694676,i,22.2126793829636,1,21.623185248798798,0.04889099515085635,
