source_id,time,filter,mag
S251112cm_100Mpc,0.1,g,23.849812976464754
S251112cm_100Mpc,0.1,i,23.785015579191295
S251112cm_100Mpc,0.1,r,23.294756066017147
S251112cm_100Mpc,0.1,u,24.18796532238286
S251112cm_100Mpc,0.1,y,24.917386102201732
S251112cm_100Mpc,0.1,z,24.468796857337516
S251112cm_100Mpc,0.2,g,22.81710762894934
S251112cm_100Mpc,0.2,i,23.377224880265977
S251112cm_100Mpc,0.2,r,22.411251136154366
S251112cm_100Mpc,0.2,u,23.308611259214032
S251112cm_100Mpc,0.2,y,24.39904209021798
S251112cm_100Mpc,0.2,z,23.46370404221981
S251112cm_100Mpc,0.30000000000000004,g,21.53148702780802
S251112cm_100Mpc,0.30000000000000004,i,21.723418432862964
S251112cm_100Mpc,0.30000000000000004,r,21.068390538214764
S251112cm_100Mpc,0.30000000000000004,u,22.439692556317983
S251112cm_100Mpc,0.30000000000000004,y,22.59663942077838
S251112cm_100Mpc,0.30000000000000004,z,21.853510756553586
S251112cm_100Mpc,0.4,g,19.793765789417044
S251112cm_100Mpc,0.4,i,20.080682014309648
S251112cm_100Mpc,0.4,r,19.731052026553982
S251112cm_100Mpc,0.4,u,20.541974104914885
S251112cm_100Mpc,0.4,y,20.732582472732915
S251112cm_100Mpc,0.4,z,20.201795058446315
S251112cm_100Mpc,0.5,g,19.565219428002656
S251112cm_100Mpc,0.5,i,19.795754994447794
S251112cm_100Mpc,0.5,r,19.52488677523123
S251112cm_100Mpc,0.5,u,20.288878093992597
S251112cm_100Mpc,0.5,y,20.264608075927192
S251112cm_100Mpc,0.5,z,20.00813841581996
S251112cm_100Mpc,0.6,g,18.957421734701484
S251112cm_100Mpc,0.6,i,19.096991981537975
S251112cm_100Mpc,0.6,r,18.839964361545924
S251112cm_100Mpc,0.6,u,19.803975757095802
S251112cm_100Mpc,0.6,y,19.371089093525175
S251112cm_100Mpc,0.6,z,19.3197901692548
S251112cm_100Mpc,0.7000000000000001,g,18.79845938766352
S251112cm_100Mpc,0.7000000000000001,i,18.87800218840635
S251112cm_100Mpc,0.7000000000000001,r,18.62877487583391
S251112cm_100Mpc,0.7000000000000001,u,19.66231094597913
S251112cm_100Mpc,0.7000000000000001,y,19.06804848555732
S251112cm_100Mpc,0.7000000000000001,z,19.09889937899647
S251112cm_100Mpc,0.8,g,18.64764175715098
S251112cm_100Mpc,0.8,i,18.56203267121188
S251112cm_100Mpc,0.8,r,18.394705689910424
S251112cm_100Mpc,0.8,u,19.597180234553242
S251112cm_100Mpc,0.8,y,18.704350280902087
S251112cm_100Mpc,0.8,z,18.758748698883068
S251112cm_100Mpc,0.9,g,18.60531468527381
S251112cm_100Mpc,0.9,i,18.44721135795907
S251112cm_100Mpc,0.9,r,18.329828764645583
S251112cm_100Mpc,0.9,u,19.607250628196645
S251112cm_100Mpc,0.9,y,18.60436229040145
S251112cm_100Mpc,0.9,z,18.673555116502094
S251112cm_100Mpc,1.0,g,18.579756539493665
S251112cm_100Mpc,1.0,i,18.33851904037179
S251112cm_100Mpc,1.0,r,18.265784804185536
S251112cm_100Mpc,1.0,u,19.647592002942467
S251112cm_100Mpc,1.0,y,18.501010039240533
S251112cm_100Mpc,1.0,z,18.56952733719087
S251112cm_100Mpc,1.1,g,18.601326844370767
S251112cm_100Mpc,1.1,i,18.29080300304975
