source_id,time,filter,snr,is_detection,mag,magerr,mag_lim
S251112cm_100Mpc,0.006961825107282493,g,7.192886299580324,1,23.8636318801909,0.15098250615519446,
S251112cm_100Mpc,1.00362214998313,g,1125.265783219211,1,18.655819952434925,0.0009651053255108516,
S251112cm_100Mpc,1.0040809112906572,g,1232.519549806483,1,18.655512003785113,0.0008811219263585006,
S251112cm_100Mpc,1.0045496550446842,g,1237.941801976693,1,18.656813247708357,0.0008772625645776897,
S251112cm_100Mpc,1.0050114360492444,g,1234.94858370317,1,18.656794997300842,0.0008793888379898974,
S251112cm_100Mpc,1.0054716812301194,g,1222.7097663654022,1,18.65805713433489,0.00088819115531253,
S251112cm_100Mpc,1.0068513080404955,g,1268.500377597833,1,18.656154907951766,0.0008561290317126787,
S251112cm_100Mpc,3.9450829813504242,i,165.92242180381845,1,20.015878642265776,0.006545227511710582,
S251112cm_100Mpc,3.9455487414161325,i,182.40021225428507,1,20.023914396774856,0.005953940439970552,
S251112cm_100Mpc,4.057341344807355,i,88.29538062101469,1,20.092577582944628,0.012299624197344785,
S251112cm_100Mpc,4.057807374694676,i,90.99625861668041,1,20.092128778133322,0.01193455661264876,
